TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
34835,009-1,Ended,2006-10-06,30,"In an alternate world, the Cold War has continued to persist for 140 years. As a result, the world was divided into two factions: the  West Block, and the East Block. As the Cold War drags on, the tension between the two factions, as well as the amount of nuclear weapons they have, rise. Mylene Hoffman is a female cyborg who is a spy for the West Block. Together with three other agents, Mylene partakes in various missions issued by her superiors.",6.5,13,"Animation, Action & Adventure, Sci-Fi & Fantasy, War & Politics, Drama","spy, cyborg, cold war, espionage, police, mecha, mission, conspiracy, tragedy, based on manga, nuclear weapons, communism, enigmatic, seinen, ecchi, anime, female cyborg, territorial division, alternative world",ゼロゼロナインワン,/r1zbGhkKXmzZR8h5y7LQxiE8yW9.jpg,/byuLWybI5Am5I6f7tGVr8H1k3Kn.jpg,2.6117,ja,TV,12,1,http://www.tbs.co.jp/anime/009-1/,"Yumiko Shaku, Toshiyuki Morikawa, Marina Inoue",,Opening | Destiny girl - Minato
21855,07-Ghost,Ended,2009-04-07,24,"Set in a gothic fantasy world, this is the story of Teito Klein, an orphaned slave who became the top military academy student. However, an unexpected turn of events left him pursued by the forces of the Barsburg Empire. Now an escaping convict, Teito's sheltered by the church and its law of sanctuary. Here, he discovered many mysteries surrounding himself, the church, and the Empire itself. The fact that he might be connected to a dethroned king and the mystical stone of god, ""The Eye of Mikhae...",7.0,25,"Animation, Drama","amnesia, magic, exorcism, friendship, god, revenge, conspiracy, tragedy, religion, brainwashing, bromance, based on manga, church, fighting, demon, military, angst, anime, bishounen, drastic change of life, josei",セブンゴースト,/xmqAgtAnhNNi4q9PUIHYE0NThXl.jpg,/xpbYhlApQErpGSIXTP8o9zQmwMu.jpg,3.8005,ja,TV,25,1,,"Show Hayami, Susumu Chiba, Junichi Suwabe",,07-Ghost - trailer
85940,7SEEDS,Ended,2019-06-28,24,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",7.8,215,"Animation, Sci-Fi & Fantasy, Drama","japan, based on manga, anime, unfinished, psychological",7SEEDS,/eeGRd3ENc9vetozwDDMhl9S7l3G.jpg,/moI1fOrXKak8RIXaLHRozkoIh4Y.jpg,5.2122,ja,TV,24,1,http://7seeds.jp/,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi",,Official Trailer
100565,86 EIGHTY-SIX,Ended,2021-04-11,24,"Called “Juggernaut,” these are the unmanned combat drones developed by the Republic of San Magnolia in answer to the attacks by the autonomous unmanned drones of the neighboring Empire of Giad, the “Legion”. But theyre only unmanned in name. In reality, they are piloted by the Eighty-sixers—those considered to be less than human and treated as mere tools. Determined to achieve his own mysterious ends, Shin, the captain of Spearhead Squadron, which is comprised of Eighty-sixers, continues to fig...",8.061,171,"Animation, Action & Adventure, Sci-Fi & Fantasy, War & Politics","based on novel or book, fight, army, racist, tragedy, terrorism, robot, combat, military, discrimination, anime, war, based on light novel",８６―エイティシックス―,/pp2gzafNPiug63UskS2niHK9Y04.jpg,/zV4F2N0OEpakHi5pkHHh5yaSpO6.jpg,8.9743,ja,TV,23,1,https://anime-86.com,"Ikumi Hasegawa, Shoya Chiba, Natsumi Fujiwara",,86 EIGHTY-SIX - Opening 2 | Kyokaisen
229610,A Playthrough of a Certain Dudes VRMMO Life,Ended,2023-10-03,24,"Taichi Tanaka is just an ordinary 38-year-old who enjoys video games. He starts a new virtual reality multiplayer game called One More Free Life Online, naming his character Earth. Unlike his fellow players, he decides to master the most menial of skills in the game. He cooks the finest meals, overbrews complicated potions, and hunts monsters with handmade weapons. His fantasy life begins!",6.352,27,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy","based on manga, anime, virtual world, based on light novel, vrmmo",とあるおっさんのVRMMO活動記,/ukCu3TQCTUFTZMf4QNMpxwf3ufO.jpg,/sIycem5xR9OFoC3qVHRDuSpspIZ.jpg,2.1998,ja,TV,12,1,https://toaru-ossan.com,"Kaito Ishikawa, Daisuke Namikawa, Reina Ueda",,Official Trailer [Subtitled]
230050,A Returners Magic Should Be Special,Returning Series,2023-10-08,24,"Another dimension that continues to taint our world, the Shadow World. Humanity is faced with the worst calamity, known as the Shadow Labyrinth. In spite of their desperate attacks, Desir Herrman and his friends lose their battle to the Destruction Dragon, Boromir Napolitan, and the world comes to an end. When Desir is convinced of his end, he opens his eyes... to find himself 13 years in the past. Desir has gone back in time to the enrollment ceremony of Hebrion Academy, the top school for mage...",7.8,30,"Animation, Sci-Fi & Fantasy, Action & Adventure","magic, time travel, fantasy world, anime, based on webcomic or webtoon, magic school, based on manhwa",帰還者の魔法は特別です,/svwCvfLCUqc5tn85lijkKqTXQLF.jpg,/2KKDIwALX3HJWCjeDnvLa3Ag6ki.jpg,3.6333,ja,TV,13,2,https://returners-magic.com,"Takuma Terashima, Sayumi Suzushiro, Natsumi Fujiwara",,ED Trailer [Subtitled]
210875,ATRI My Dear Moments,Ended,2024-07-14,24,"In the near future, a sudden and unexplained sea rise has left much of human civilization underwater. Ikaruga Natsuki, a boy who lost his mother and one of his legs in an accident some years earlier, returns disillusioned from a harsh life in the big city to find his old countryside home half-swallowed by the sea. Left without a family, all he has to his name is the ship and submarine left to him by his oceanologist grandmother, and her debts. His only hope to restore the dreams for the future t...",8.1,15,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy","artificial intelligence (a.i.), bodily disabled person, future, post-apocalyptic future, friendship, romance, slice of life, robot, seinen, anime, interspecies romance, robot girl, based on visual novel",ATRI -My Dear Moments-,/6bQKMlHwRmGnvIRxDahl1r8WJkE.jpg,/zwHdg4RWuAsCPHwcxOrOMTDGcKi.jpg,2.6041,ja,TV,13,1,https://atri-anime.com/,"Kensho Ono, Hikaru Akao, Minami Takahashi",,Special Comment Video [Subtitled]
42963,AYAKA,Ended,2006-01-13,23,"An anthology of three classic Japanese horror stories: ""Yotsuya Ghost Story"", the story of a wife betrayed by her husband who seeks vengeance even in death; ""Goddess of the Dark Tower"", the story of forbidden love between a goddess and a human; and ""Goblin Cat"", the story of a mysterious cat monster with a vendetta against a certain family.",7.4,14,"Animation, Mystery, Sci-Fi & Fantasy","anthology, japanese folklore, anime, psychological, horror",怪 〜ayakashi〜,/k2ZxUTQyCvqa3IIJ3oyqPZzKLLz.jpg,/qupQSxhEP1ct0Ek1BzjFsvnbFjD.jpg,3.3373,ja,TV,11,1,http://lineup.toei-anim.co.jp/ja/tv/ayakashi/,"Hiroaki Hirata, Mami Koyama, Yuko Nagashima",,
235758,Alya Sometimes Hides Her Feelings in Russian,Returning Series,2024-07-03,24,"Alya is a transfer student enjoying popularity at her new high school, often sporting a cold shoulder while earning high marks in class. She ignores her nerdy classmate, Kuze Masachika, except for when she blurts out a flirtatious line to him in Russian. Little does she know, Kuze understands Russian, though he pretends not to. Lets see where this wacky love story takes them!",7.896,144,"Animation, Comedy","high school, harem, romcom, romance, slice of life, shounen, anime, tsundere, based on light novel",時々ボソッとロシア語でデレる隣のアーリャさん,/hfnzByZIRj6rx8xaxzS2zDilei1.jpg,/3197ZU1CWDjdFsmqvWPZGXAYaoi.jpg,13.3065,ja,TV,13,2,https://roshidere.com,"Sumire Uesaka, Kohei Amasaki, Wakana Maruoka",,Official Trailer [Subtitled]
277665,Anne Shirley,Returning Series,2025-04-05,24,"On the beautiful Prince Edward Island in Canada, an orphan named Anne Shirley is mistakenly sent to Green Gables, the home of Matthew and Marilla Cuthbert. They choose to adopt her anyway, as Anne finds friendship, love, and happiness in her new home. Come along for the story of a purehearted and imaginative girl growing up, leaving for college, and returning home a changed woman.",8.667,4,"Animation, Drama, Family","based on novel or book, adoption, remake, slice of life, coming of age, orphan, anime, talkative female lead",アン・シャーリー,/jRbV0vcG1YsOWZXxdo65OoE4ti9.jpg,/qHjVizo0Mpi9rkCk0v3zev9Mk3q.jpg,5.3994,ja,TV,24,1,https://anime-ann-e.jp,"Honoka Inoue, Aya Nakamura, Yasunori Matsumoto",,Official Teaser [Subtitled]
